Ticker|Name|Exchange|Country
A1ASNK.F|7.25 INTL 16 GMTN|FRA|Germany
A1GPSJ.SG|4.125 ORANGE 19EMTN|STU|Germany
A1ZA8Y.BE|SG -S JRSFRN|BER|Germany
16584.PA|CIC P1C TSDI-A-|PAR|France
A1GPM0.BE|6.375 FIAT CH16GMTN|BER|Germany
A0H5C0.DU|5.5 KFW 16 MTN|DUS|Germany
858852.HA|5.5 BELGIUM 17 OLO|HAN|Germany
LBB5PZ.F|LBB 16 S 713|FRA|Germany
A1GWA1.MU|3.5 OEBB 26 REG-S|MUN|Germany
THOMASPSB.BO||BSE|India
881LTINF22A.BO|LTINF-8.81%-26-5-22-PVT|BSE|India
130304.SS|EXPORT-IMPORT BANK OF CHINA 3.8|SHH|Australia
PDQ.L|12.25 PROV QUEB20|LSE|UK
ZAR228.SW|7.5 RABOBANK 18|EBS|Austria
A1Z4M3.F|2 GLDM SACHS 23EMTN|FRA|Germany
A1ZN2W.DU|2.125 EIB 21 SR|DUS|Germany
KFW06.SW|2.125 KFW 16|EBS|Austria
CZ40KQ.F|1.5 COBA16S845EMTN|FRA|Germany
MBT14.SW|4  MEYERTEC 20 CV|EBS|Austria
601960.F|FRANZ HANIEL 17 VRN|FRA|Germany
A1YCQ4.F|3.875 ATON GR 18|FRA|Germany
A0TVEZ.DU|6.8 PETRO 38 SRN|DUS|Germany
H378D29DF1.BO||BSE|India
A1HM7X.SG|2.25 ORACLE 21|STU|Germany
10021384.VI|S-BAUSPK 22A1 VAR W|VIE|Austria
A1PGSG.SG|BRANDB 17 VAR|STU|Germany
A11QFG.SG|WUERTTEM LEBEN44VRN|STU|Germany
A1ZAJA.DU|4 CATERPILL 16 MTN|DUS|Germany
A1PGZ5.DU|1.75 BL BRD 22|DUS|Germany
WLB45C.DU|WESTLB 16 VAR|DUS|Germany
A1ZFAQ.SG|DEXIA CLF 17 FRN|STU|Germany
A0JCWF.SG|8.5 LANDW 16 EMTN|STU|Germany
HLB0CY.DU|0 LB HESS-TH17E647|DUS|Germany
A1ZG6J.SG|1.75 COUNCIL 24EMTN|STU|Germany
A1ZB2S.SG|5.5 HUNGARY 25 S B|STU|Germany
A1HKEY.BE|3.75 MICROSOF43 SRN|BER|Germany
1235UFSPL21.BO|UFSPL-12.35%-5-8-21-PVT|BSE|India
DZ1JEF.F|DZB 17 E 7952 VAR|FRA|Germany
122050.SS|NINGBO SHANSHAN CO. LTD 5.96% N|SHH|Australia
10532585.SW|4 PETRO FIN 15|EBS|Austria
PTTC247A.BK|PTT PUBLIC CO., LTD.|SET|Thailand
A1HN0S.SG|8.5 SOUTH 37 R2037|STU|Germany
A0V0FC.SG|5.374 HBOS 21 REG-S|STU|Germany
OLT56.OL|OLAV THON 17 FRN|OSL|Norway
CV3H.L|3.5 UK TREAS CN LN|LSE|UK
SCC153.SW|0.34 SWIS CARD 20 A|EBS|Austria
1285JFSP18.BO|JFSP-12.85%-015A-28-6-18-PVT|BSE|India
A0T8N5.MU|6.5 DEUTSCHE TEL 22|MUN|Germany
NLB6HS.F|NORDLB 16 S 1240VAR|FRA|Germany
H370J31DQ1.BO||BSE|India
ZKB119.SW|2.375 ZKB 23 S119|EBS|Austria
A1H3PC.F|8.5 KFW 15 |FRA|Germany
10JSHPL23.BO|JSHPL-10%-17-11-23-PVT|BSE|India
TUAG05.SG| TUI AG VRN FRN|STU|Germany
CREAL00815.MX|CRED16 00815 13 FR|MEX|Mexico
A1Z06Q.DU|4.375 ORACLE 55 SRN|DUS|Germany
BSLFTPGTRG.BO|BIRLA SUN LIFE FIXED TERM PLAN|BSE|India
WLB28Q.DU|3.85 WESTLB 16|DUS|Germany
113747.BE|0 FRG 16|BER|Germany
A0G4X3.BE|WIENERBERGER VAR|BER|Germany
A1ZFKQ.SG|1 BK OF NOVA 19|STU|Germany
A1HKP8.BE|6.5 INEOS FIN 18 |BER|Germany
KTKFMP85G.BO||BSE|India
0MMFSL16A.BO|MMFSL-ZC-27-5-16-PVT|BSE|India
US7AB0.TI|8.125 JAG 21 SRN-S|TLO|Italy
XS1240146891.TI|GS GRP 20 FRN REG-S|TLO|Italy
NLB59G.F|NORDLB 15 S1057 VAR|FRA|Germany
A1TM57.DU|WLBK 19 R338FRNEMTN|DUS|Germany
A1MAPW.EX|EURO OAT |EUX|Germany
A11P7H.HM|2 HASPA 21 R687|HAM|Germany
A1ZGFR.HM|8.75 YPF 24 SRN-S|HAM|Germany
A1G1XH.SG|4.125 NORDIC 17 MTN|STU|Germany
CITYT01.OL|CITYCON TSY 21 FRN|OSL|Norway
A1Z14R.SG|1.75 MICHELIN LUX27|STU|Germany
JPM39Q.DU|1.625 JPM 18 SRN|DUS|Germany
X63182.TI|ABN AMRO 23 VRN-S|TLO|Italy
A0AX5A.F|5.375 GLAX 34 NTS|FRA|Germany
HV2AL8.MU|0.625 UCB 22 S1874|MUN|Germany
A1ZJZL.BE|2.25 OEBBINF29REG-S|BER|Germany
A1X3HZ.SG|5.875 HELMAEIGEN 18|STU|Germany
0MFL19X.BO|MFL-X-ZC-04-02-19-NCD|BSE|India
14MJ.L|7.4 EVRAZ 17-144A|LSE|UK
NLB1HE.DU|1.625 NDT 17 SRS 1|DUS|Germany
A1DAMM.DU|2.25 KFW 17|DUS|Germany
A0TNFP.SG|5.625 GLAXOSM17EMTN|STU|Germany
A1G4N0.F|1.846 BP CAP 17 SRN|FRA|Germany
A1AYHE.SG|3.75 DANSKE BK 22|STU|Germany
A1PGWZ.MU|6.75 STEIL BFP 17|MUN|Germany
755443.F|6.125 GS 33 SRN|FRA|Germany
LUF-B301.TA|LEUMI F 59 S301 FRN|TLV|Israel
A1PGZ8.HM|3 K + S 22 EMTN -S|HAM|Germany
A1K0SE.MU|7.25 TEXTILK WS 18|MUN|Germany
BSLFTPJPRG.BO|BIRLA SUN LIFE MUTUAL FUND- BI|BSE|India
WIN15.SW|0.15 WINTERTHUR 23|EBS|Austria
A1Z06P.F|4.125 ORACLE 45 SRN|FRA|Germany
780051.MI|1.375 KFW 35 EMTN|MIL|Italy
A1GZ56.SG|4.875 ICO 18 GMTN|STU|Germany
A1HE6S.F|4 NOVOMATIC 19 |FRA|Germany
A1ZLZK.BE|3.5 OTE PLC 20 GMTN|BER|Germany
SST54.OL|2.08 STEENSTR 15 CD|OSL|Norway
99461.TWO|SANFAR FIRST 0% CNV BDS 20/07/1|TWO|Taiwan
A1ZM88.MU|4 WELLS FAR 19 MTN|MUN|Germany
66TJ.L|6.875 KAZKOMMERT 17|LSE|UK
I26938.TI|0 CARIPRATO 16GE17|TLO|Italy
A0G4WM.DU|2.625 NESTLE HLD 18|DUS|Germany
A0T9WQ.SG|5.125 KCRC19MTN1-S|STU|Germany
A1GKYE.BE|2.5 BNG 16|BER|Germany
A1HBXK.BE|4 POLAND 23 DS1023|BER|Germany
A1R01Y.F|7.5 TOPHEDGE 23|FRA|Germany
A1HMA9.MU|1.5 AIR LIQUIDE 19|MUN|Germany
BCGFE.LS|CGD 17 2I|LIS|Portugal
I71227.TI|BARCLAYS B. 08FB16|TLO|Italy
A1ZMHG.SG|2.25 WESTPAC 19-S|STU|Germany
NOK341.SW|1.5 RABOBANK 20GMTN|EBS|Austria
A0T6PG.MU|3.5 US TR BDS 39|MUN|Germany
A0LPQH.SG|SANTANDER 17 FRN|STU|Germany
A13R5N.HA|7.25 GERMPELLE 19-S|HAN|Germany
A0JCV8.DU|4.75 LANDW 26 |DUS|Germany
HSH4LC.BE|HSH 19 S 1946 VAR|BER|Germany
37QM.L|4.988 MEADOWHALL 37|LSE|UK
A1VFT7.SG|1.15 WELLS17SRMTN L|STU|Germany
281185.SG|6 LB BADE-WU20R3012|STU|Germany
A1Z1PP.F|1.75 LLOYDS 18 SRN|FRA|Germany
EB0AKE.F|ERSTE GR 17 S 162|FRA|Germany
X62757.MI|3.25 UNICREDIT 21|MIL|Italy
WOWHC.AX|WOOLWORTHS HYM3QUT|ASX|Australia
A1KQXX.F|6.5 GLDN GT 14|FRA|Germany
A1ALA2.MU|6 GECC 19 SRMTN 820|MUN|Germany
HV2AAN.MU|UCB 15 S 1513 VAR|MUN|Germany
44KX.L|1.125 MACQUARIE 22|LSE|UK
US310.SW|0.9 COLG18SRMTN H98|EBS|Austria
A1G2X1.DU|4.125 EDF 27|DUS|Germany
A1G1UV.DU|HELLEN REP 42 S 20|DUS|Germany
A1GWG5.F|CARREFOUR 18 VRN -S|FRA|Germany
A1HQPW.DU|AMERICA MOVI 73 VRN|DUS|Germany
A1Z4RL.MU|3.1 INTEL 22 NTS|MUN|Germany
A1ZSZ3.SG|0.375 BELFIUS 19 -S|STU|Germany
RU000A0JU1X4.ME|GAZPROMBANK 16 SBO5|MCX|India
CB83HU.SG|10 COBA 17 S 272|STU|Germany
A1R07Y.SG|0.25 KFW 16|STU|Germany
A1AU7M.F|4.5 NORDEA BK20EMTN|FRA|Germany
A1HHW8.F|1 VW INTL 16 EMTN|FRA|Germany
HSH32L.HM|HSH 17 S 1640 VAR|HAM|Germany
AIF-DBA.TO|ALTUS GROUP LTD 6.75 PCT DEBS|TOR|Canada
46QC.L|3.875 CBA 15 EMTN|LSE|UK
A1HNL1.BE|3.625 ORACLE 23 SRN|BER|Germany
A1H3KE.BE|2.875 BL BRD 16|BER|Germany
A13SHW.HM|5.375 SEMP ID 20-S|HAM|Germany
A0T8SJ.DU|6.5 ZURICH 15EMTN-S|DUS|Germany
30634532.VI|OMV VRN REG-S|VIE|Austria
A1ZCHN.MU|4.75 EIB 19 REG-S|MUN|Germany
A1GRGC.DU|4.75 RBS16EMTNREG-S|DUS|Germany
A1RET7.DU|0.375 KFW 17 EMTN|DUS|Germany
WLB88Z.DU|5 WESTLB 19|DUS|Germany
BPAT160811.MX|BPAT 16 FR|MEX|Mexico
114158.EX|1.75 FRG 15|EUX|Germany
93YS.L|JPM CHASE 17 FRN|LSE|UK
ZG14.SW|0.625 ZUGER KB 22|EBS|Austria
KTKFMP117G.BO|KOTAK MAHINDRA MUTUAL FUND - K|BSE|India
JPM204.F|6.3 JPMORG 19 SRN|FRA|Germany
A1G5Q7.BE|3 DANON 22 SRN -S|BER|Germany
WGZ8MR.DU|WGZ 25 S 675|DUS|Germany
A1ZJDD.BE|8.75 ARGENTINA 24|BER|Germany
DZ1HLW.F|DZB 15|FRA|Germany
A1ELV1.F|2.5 WL BK17S287EMTN|FRA|Germany
MFAA.PA|6.75 WENDEL 18|PAR|France
SDFSB1DD.BO|SBI Mutual Fund|BSE|India
A1ZY69.SG|3.25 LLOYDS 20 MTN|STU|Germany
A18WK9.F|1 US TR NTS 17|FRA|Germany
GT2J39.F|8 GSI 16|FRA|Germany
A1ZDEB.DU|AUSNET SVCS 24 VRN|DUS|Germany
AUD557.SW|2.75 MB AUS18EMTN-S|EBS|Austria
1240GOI13.BO|12.40% GOI 2013|BSE|India
608249.BE|5.5 SEEBOARD 26EMTN|BER|Germany
85QY.L|BROADGATE FIN 22FRN|LSE|UK
A1ZEZV.DU|KBC GROUP  -S|DUS|Germany
A1HHTX.F|CRH FIN 23 VRN|FRA|Germany
NLB2D3.F|3.25 NORDLB 16S1317|FRA|Germany
A1HS38.SG|4.875 PHILIP 43 SRN|STU|Germany
BLB5QL.MU|BAYLB 15 R 20298VAR|MUN|Germany
42TN.L|YORKSHIRE 24 VRN-S|LSE|UK
GBP073.SW|5.625 EIB 32 |EBS|Austria
79JC.L|WARWICK FIN 49 FRN|LSE|UK
A1H3UM.HM|3 WARB HYP 16 R 21|HAM|Germany
US295.SW|2.375 KOMMUNAL 16|EBS|Austria
A1ZKZJ.MU|3 KELAG 26|MUN|Germany
H369F29DQ1.BO|HDFC MUTUAL FUND - HDFC FMP 36|BSE|India
BP455X.MU|5 BNPP 20EMTN REG-S|MUN|Germany
