Ticker|Name|Exchange|V4
EGPLTL=X|EGP/LTL|CCY|NA
MDLGBP=X|MDL/GBP|CCY|NA
SARZAR=X|SAR/ZAR|CCY|NA
JPYSCR=X|JPY/SCR|CCY|NA
HRKAED=X|HRK/AED|CCY|NA
CHFBND=X|CHF/BND|CCY|NA
SEKMUR=X|SEK/MUR|CCY|NA
JPYRUB=X|JPY/RUB|CCY|NA
HKDINR=X|HKD/INR|CCY|NA
LKRCZK=X|LKR/CZK|CCY|NA
MXNISK=X|MXN/ISK|CCY|NA
29134357=X|SGD/CZK|CCY|NA
CADTMT=X|CAD/TMT|CCY|NA
29134361=X|UAH/CZK|CCY|NA
HRKTRY=X|HRK/TRY|CCY|NA
CZKBMD=X|CZK/BMD|CCY|NA
29134366=X|UYU/VEF|CCY|NA
NOKDKK=X|NOK/DKK|CCY|NA
NZDLTL=X|NZD/LTL|CCY|NA
MRO=X|USD/MRO|CCY|NA
TTDCAD=X|TTD/CAD|CCY|NA
AEDRUB=X|AED/RUB|CCY|NA
ZARPLN=X|ZAR/PLN|CCY|NA
PLNTHB=X|PLN/THB|CCY|NA
TWDMYR=X|TWD/MYR|CCY|NA
SGDIDR=X|SGD/IDR|CCY|NA
CHFBDT=X|CHF/BDT|CCY|NA
TNDKWD=X|TND/KWD|CCY|NA
EUR-BDT.F|EUR/BDT|FRA|NA
SARCNY=X|SAR/CNY|CCY|NA
SHP=X|USD/SHP|CCY|NA
VUVAED=X|VUV/AED|CCY|NA
KES=X|USD/KES|CCY|NA
BRLCNY=X|BRL/CNY|CCY|NA
EUR-HKD.F|EUR/HKD|FRA|NA
JPYPEN=X|JPY/PEN|CCY|NA
HRKBRL=X|HRK/BRL|CCY|NA
CLFGBP=X|CLF/GBP|CCY|NA
EURLKR=X|EUR/LKR|CCY|NA
MURJOD=X|MUR/JOD|CCY|NA
CZKRUB=X|CZK/RUB|CCY|NA
LVLKES=X|LVL/KES|CCY|NA
SIT=X|USD/SIT|CCY|NA
C3AR.EX|CARREFOUR DIV|EUX|NA
VUVILS=X|VUV/ILS|CCY|NA
EURGNF=X|EUR/GNF|CCY|NA
ANGCAD=X|ANG/CAD|CCY|NA
MZNCAD=X|MZN/CAD|CCY|NA
EUR-LYD.F|EUR/LYD|FRA|NA
JPYSLL=X|JPY/SLL|CCY|NA
EUR-EGP.F|EUR/EGP|FRA|NA
JPYLKR=X|JPY/LKR|CCY|NA
ZMK=X|USD/ZMK|CCY|NA
BRLVEF=X|BRL/VEF|CCY|NA
