Ticker|Name|Exchange|Country
C021.DE|ComStage - TOPIX UCITS ETF|GER|Germany
S6X0.DE|Source Markets Public Limited Company - Source EURO STOXX 50 UCITS ETF|GER|Germany
BULL-APELS-X2-H.S|||
O023.L|ISHARES PLC ISHARES DJ IND AVER|LSE|UK
CORN|Teucrium Corn ETF|PCX|USA
NOBL|ProShares S&P; 500 Dividend Aristocrats|PCX|USA
CEMR.MU|ISH EU MOME EUR-AC|MUN|Germany
ITWN.SW|ISHARES MSCI TA USD|EBS|Austria
IDLB|PowerShares FTSE Intl Lw Bt Eq Wgt|NGM|Sweden
UIMK.SG|UBS ETF M TURK AD|STU|Germany
IEBB.SW|iShares Euro Corporate Bond BBB-BB|EBS|Austria
SDEM|Global X SuperDividend Emerg Mkts ETF|PCX|USA
IUSP.SG|ISHS EM MKS LOC G-C|STU|Germany
JBGOGA.SW|JB PHYSGD A (GBP)|EBS|Austria
EL40.HM|DK MSCI EM ETF T|HAM|Germany
XCS5.F|DBXT MSCI INDIA 1C|FRA|Germany
500U.PA|Amundi ETF S&P; 500 USD A/I|PSX|USA
GDX.SW|Market Vectors Gold Miners A USD|EBS|Austria
124661.L|DBXT2 UK G DLD 1C|LSE|UK
XBAC.SW|DBX GLOBAL AGG CHFH|EBS|Austria
6PSJ.F|POWSHS FTSE ASI USD|FRA|Germany
LYY1.BE|L UC ETF EMU SM CAP|BER|Germany
U1FA.F|UBS ETF MSCI CA AHC|FRA|Germany
LPET.L|ETFS COMMODITY SECURITIES LIMIT|LSE|UK
P63974.MI|BPAG14.25E16|MIL|Italy
PSLV.A||ASE|USA
EMRE|Guggenheim Emerging Markets Rel Est ETF|PCX|USA
DBPY.DE|DBXT MSCI W MAT 1C|GER|Germany
GLD.MI|Boost Gold ETC|MIL|Italy
XMKS.DU|DBXT MSCI EM CS 1C|DUS|Germany
114260.KS|KODEX TBOND|KSC|Korea
UTLT|Deutsche X-trackers Regulated Utilities|PCX|USA
AJEUAS.SW|UBS ETF (IE) MSCI AC Asia ex Japan SF|EBS|Austria
NDXH.SW|A N-100 HEDGE ETF|EBS|Austria
UC74.L|UBS ETF (IE) MSCI USA hedged GBP acc|LSE|UK
LYQI.HM|L UC ETF ASIA C EUR|HAM|Germany
JJU.A||ASE|USA
NBF_11AGK_A016.ST|BASKET/NORDEA 18|STO|Sweden
JP4H.SG|AM ETF JP-N400 DH|STU|Germany
THD|iShares MSCI Thailand Capped|PCX|USA
EL47.DU|DK EUST 50 DL S T|DUS|Germany
AUDP.L|ETFS FOREIGN EXCHANGE LIMITED E|LSE|UK
125627.L|DBX S&P500; 4C|LSE|UK
LYYK.F|L UC ETF E600 TELEC|FRA|Germany
VAF.AX|Vanguard Australian Fixed Interest ETF|ASX|Australia
95BO.L|BCCL/BARCLAYS 16|LSE|UK
228810.KS|TIGER MEDIA CONTENTS|KSC|Korea
C005.SG|COMS SDAX IC|STU|Germany
FLTR.MX|MKVT INVS GR FLT RT|MEX|Mexico
13042145.SW|UBS ETF M TURK AD|EBS|Austria
X015.SW|COMS M PAC XJAP IC|EBS|Austria
QVAL.A||ASE|USA
J40B.BE|PRSHS SHRT HIGH YLD|BER|Germany
WTID.L|Boost WTI Oil ETC|ISE|UK
BEAR-ADEL-X3-H.ST|BASKET/SHB 21 NTS|STO|Sweden
IVOG|Vanguard S&P; Mid-Cap 400 Growth ETF|PCX|USA
XMK2.SG|DBX RUSSELL 2000 2C|STU|Germany
CLEA.SW|CLEA/ETFS HEDGED|EBS|Austria
GRES|IQ Global Resources ETF|PCX|USA
SXRZ.SG|ISHS NIK 225 JPY-AC|STU|Germany
MLPN|Credit Suisse X-Links CushgMLPInfrasETN|PCX|USA
XCR.TO|iShares Conservative Core Port Builder|TOR|Canada
RTWO.MI|GO RUSS 2000 US USD|MIL|Italy
DBPK.F|DBX S&P500; X2 SH 1C|FRA|Germany
116982.L|SPM/HSBC 14 ELN|LSE|UK
ONEK.A||ASE|USA
124901.L|MEDGULF/HSBC 15 ELN|LSE|UK
UB55.L|UBS ETF UBS ETF MSCI JAPAN INFR|LSE|UK
ARTH4CK15-2.MX|CIB ARTHA 25 15-2 B|MEX|Mexico
3782002.SG|SGRA/ETFS|STU|Germany
UBUD.DU|UBS SO GL GO USD-A-|DUS|Germany
PSDAX-57.TA|DAX/PSAGOT S57|TLV|Israel
LYP9.SG|MUL LY SG GQ IN MHC|STU|Germany
XRSM.F|CFSDBX RU USD-1C-AC|FRA|Germany
BSCE|Claymore Exchange-Traded Fund Trust - Guggenheim BulletShares 2014 Corporate Bond ETF|PCX|USA
17UN.L|HAP/HSBC16S APAC043|LSE|UK
HEZU.A||ASE|USA
C540.F|COMS IGCC OV IC|FRA|Germany
TBZ|ProShares UltraShort 3-7 Year Treasury|PCX|USA
540I.DU|AM NORDIC UCITS ETF|DUS|Germany
ICF.MX|ISH COH&ST; REIT|MEX|Mexico
EICT.BK|KTAM SET ICT ETF TRACKER|SET|Thailand
BSJH|Guggenheim BulletShrs 2017 HY CorpBd ETF|PCX|USA
75MH.L|COL/HSBC BANK 16|LSE|UK
SPXJ.L|ISHARES III PLC ISHARES MSCI PA|LSE|UK
EUNL.DU|ISHS CR WD USD-AC|DUS|Germany
DBX1.DE|db x-trackers - MSCI Emerging Markets Index UCITS ETF|GER|Germany
CALU.SW|CALU/ETFS|EBS|Austria
23929909.F|BNP 17 510 SRVRN|FRA|Germany
JNK.MX|SPDR Series Trust - SPDR Barclays High Yield Bond ETF|MEX|Mexico
25883159.IR|WIS EUR EQ INC EUR|ISE|UK
6PSE.SG|POWSHS GLOB EQT EUR|STU|Germany
GUR.A||ASE|USA
QDVK.SG|ISHS S&P; CON USD-AC|STU|Germany
77DP.L|RBS/INDEX 15|LSE|UK
ZPRS.SG|SPDR WRLD SM USD-AC|STU|Germany
XRL2.SW|db x-trackers Russell 2000 (DR) 2C|ISE|UK
QRI.TO|Questrade Russell 1000 EW US IndETF CADH|TOR|Canada
H4Z9.DE|HSBC MSCI Emerg Mkts ETF|GER|Germany
LGRA.MI|LGRA/ETFS|MIL|Italy
12429083.SG|BELGACOM 18 VRN|STU|Germany
DXJC|WisdomTree Japan Hedged Capital Gds ETF|PCX|USA
JPYP.L|ETFS FOREIGN EXCHANGE LIMITED E|LSE|UK
WEET|iPath Pure Beta Grains ETN|PCX|USA
22619098.IR|FIN MSCI USA USD-AC|ISE|UK
EL4G.HM|DK EU STSLDV 30|HAM|Germany
PBW.A||ASE|USA
176950.KS|KODEX 10Y F-LKTB INVERSE|KSC|Korea
MVR.AX|Market Vectors Australian Resources ETF|ASX|Australia
HYXU.A||ASE|USA
CGL-C.TO|ISHARES GOLD BULLION ETF NON HD|TOR|Canada
SXLE.SW|SPDR® S&P; US Energy Select Sector ETF|ISE|UK
VAPX.AS|VAN FTSE AS ETF USD|AMS|Netherlands
16GB.L|CARE/HSBC 16|LSE|UK
UBUF.F|UBS MSCI BRA USD-A-|FRA|Germany
LCFE.L|ETFS COMMODITY SECURITIES LIMIT|LSE|UK
FPXU.PA|Firsttrust US Ipo|ISE|UK
HUF-U.TO|HORIZONS ACTIVE US FLOATING RAT|TOR|Canada
SMCX.SW|SPDR® MSCI Europe Small Cap ETF|EBS|Austria
GDX.AX|Market Vectors Gold Miners ETF|ASX|Australia
QDVE.MU|ISHA IN TECH USD-AC|MUN|Germany
EUDEF.SW|UBS ETF (IE) MSCI EMU Defensive|ISE|UK
MALL.L|LYXOR INTERNATIONAL ASSET MANAG|LSE|UK
IESG.L|iShares DJ Eurp Sustainability Screened|LSE|UK
ZLU.TO|BMO Low Volatility US Equity ETF (CAD)|TOR|Canada
TPS|ProShares UltraShort TIPs|PCX|USA
LXF.TO|First Asset Can-60 Covered Call ETF Comm|TOR|Canada
P3E8.BE|PWRSHS ZACKS MC PRT|BER|Germany
XDAX.ST|db x-trackers - DAX UCITS ETF (DR)|STO|Sweden
EXT|WisdomTree Total Earnings ETF|PCX|USA
XRS2.F|CFSDBX RU USD-1C-AC|FRA|Germany
FCFI|TrimTabs Intl Free-Cash-Flow ETF|PCX|USA
PCK|PIMCO California Municipal Income Fund II|PCX|USA
EXH1.HM|ISHSEU600OG|HAM|Germany
MDRI.SW|RBS M A D RUSS C|EBS|Austria
M9SD.HM|RBS M A NYS AGB C|HAM|Germany
BZF.MX|WisdomTree Trust - WisdomTree Brazilian Real Strategy Fund|MEX|Mexico
JEM.A||ASE|USA
28227592.IR|PS S&P; 500 VEQ USD|ISE|UK
UMX|ProShares Ultra MSCI Mexico Capped IMI|PCX|USA
XGD.TO|iShares S&P;/TSX Global Gold|TOR|Canada
SDIG.L|iShares $ Short Dur Corp Bd|ISE|UK
XFVT.SW|DBXT FTSE VIETN 1C|EBS|Austria
EXHK.BE|IS EGBC 10.5+|BER|Germany
URTH.MX|ISHARES MSCI WORLD|MEX|Mexico
SGAO_TTT33.ST|BSKT/SGA 17 NTS|STO|Sweden
ULST|SPDR SSgA Ultra Short Term Bond ETF|PCX|USA
EQQU.L|PowerShares EQQQ Nasdaq-100 ETF|ISE|UK
HMEM.L|HSBC MSCI Emerg Mkts ETF|LSE|UK
LYYT.MU|L UC ETF INDUST G&S;|MUN|Germany
VT|Vanguard Total World Stock ETF|PCX|USA
PRANACK15.MX|CIBANCO 25 15 A|MEX|Mexico
USLV.L|SSGA SPDR ETFS EUROPE I PLC SPD|LSE|UK
XSN5.MI|DBX I ESF 1C|MIL|Italy
SPYI.SG|SPDR MSCI USD AC|STU|Germany
ICN|WisdomTree Indian Rupee Strategy ETF|PCX|USA
EEMV.MX|iShares MSCI Emerging Markets Mini Vol|MEX|Mexico
PSCU|PowerShares S&P; SmallCap Utilities ETF|NGM|Sweden
AXTE|iShares MSCI ACWI ex US Telecom|PCX|USA
DHVW|Diamond Hill Valuation-Weighted 500 ETF|PCX|USA
LYPF.F|MUL LY W INDUST CC|FRA|Germany
ZSILHC.SW|ZKB SILVERETF AAHCH|EBS|Austria
KBN40-94.TA|TB40/KSM SAL S94|TLV|Israel
UBSO_GTM_1754.ST|SPEULVE/UBS 17|STO|Sweden
ISXIF.PK|ISHARES BSE SENSEX|PNK|USA
10846326.DU|L U ETF/NA AS D EUR|DUS|Germany
UGLD|VelocityShares 3x Long Gold ETN|PCX|USA
KSPI-158.TA|IXI/KSM SL IC S158|TLV|Israel
117231.L|PPC/HSBC 14 ELN|LSE|UK
HPRD.L|HSBC FTSE EPRA/NAREIT Developed ETF|LSE|UK
PCC2.LS|COMS CAC 40 LEV IC|LIS|Portugal
LWCG.L|AMUNDI ETF LOW CARBON UCITS|LSE|UK
SJPA.SW|iShares Core MSCI Japan IMI|EBS|Austria
XMKU.F|DBXT MSCI EMUTI 1C|FRA|Germany
XCXC.SG|DBX CAD CASH ETF|STU|Germany
6PSB.DE|PowerShares FTSE RAFI Developed 1000 ETF|ISE|UK
CC2EU924HY9LNDA.S|||
204480.KS|TIGER SYNTH-CHINA A LEVERAGE|KSC|Korea
IS3T.MU|ISHS MSCI USD-ACC|MUN|Germany
CSEMUS.MI|ISH EMU SC EUR-ACC|MIL|Italy
^VGIT|Vanguard Intermediate-Term Gove|NIM|
IGT.TO|iShares Gold Trust|TOR|Canada
IGNIACK15.MX|DTSCH IGNIA 25 15|MEX|Mexico
LYM8.SG|L U ETF W WAT D EUR|STU|Germany
FLRN|SPDR Barclays Investment Grd Fl Rt ETF|PCX|USA
H4Z3.SG|HSBC MSCI WORLD USD|STU|Germany
ISM.PA|EasyETF - iBoxx Liquid Sovereigns Global THEAM Easy UCITS ETF|PAR|France
MD4X.DE|Lyxor ETF German Mid-Cap MDAX D-EUR A/I|PSX|USA
JPSRT.SW|UBS ETF MS JSR AHD|EBS|Austria
LYPY.SG|MUL LY BC OPTIM CC|STU|Germany
WDTI|WisdomTree Managed Futures Strategy ETF|PCX|USA
IVE.MX|ISHS S&P; 500 VAL|MEX|Mexico
IEAG.L|iShares III Public Limited Company - iShares Euro Aggregate Bond UCITS ETF|LSE|UK
HFIN|Exchange Traded Concepts Trust II - Horizons S&P; Financial Select Sector Covered Call ETF|PCX|USA
RQFI.SG|DBX HGI CSI300DR D|STU|Germany
CURY.L|LAM SUN ZYF USD-ACC|LSE|UK
IEF.MX|ISH 7-10 TRS BD|MEX|Mexico
XSVS.SW|DBXT SMI SHD 1C|EBS|Austria
AGG.MX|ISH CR US AGG BOND|MEX|Mexico
LYLVE.SW|L UC ETF STX 50 LEV|EBS|Austria
BULL-PLATIN-X4-S.|||
LYPJ.HM|L UC BD EX FI C EUR|HAM|Germany
PAF.PA|Lyxor UCITS ETF Pan Africa|PAR|France
TRSY|PIMCO Broad U.S. Treasury Index|PCX|USA
LWCU.L|Amundi ETF MSCI World Low Carbon USD A/I|PSX|USA
PCEF.A||ASE|USA
ARGT_GTM_1997.ST|BSKT/ARGENTUM CAP17|STO|Sweden
NDXH.L|Amundi ETF NASDAQ-100 EUR Hdg Daily A/I|PSX|USA
C030.HM|COMS DJST 30TM IC|HAM|Germany
51KZ.L|QATAR/HSBC 15 ELN|LSE|UK
VXUS|Vanguard Total International Stock ETF|PCX|USA
SYBY.DE|SPDR® Barclays US TIPS ETF|GER|Germany
XCB.TO|iShares Canadian Corporate Bond|TOR|Canada
CVY|Guggenheim Multi-Asset Income ETF|PCX|USA
ITWN.AS|ISHARES MSCI TA USD|AMS|Netherlands
226810.KS|Power Short Term Bond|KSC|Korea
XGSD.MI|DBX GLBL DIV 100 1D|MIL|Italy
XXM-D.TO|FA MORNINGSTR US VAL UNHDGD ADV|TOR|Canada
