Ticker|Name|Exchange|Country
T58FH16-3.SI|T58F future for March 2016, bei|SES|Singapore
MOHFX5.EX|MOHF NOV 15        |EUX|Germany
GVU9.AX|Base Load Quarterly $300 Cap El|ASX|Australia
PSC6.AX|Peak Load Electricity South Aus|ASX|Australia
S2VTZ7.EX|S2VT DEC 17/N      |EUX|Germany
ICF1628-C.BO|||
DIX1526-C.BO|||
XSH5.AX|10-Year Interest Rate Swap Futu|ASX|Australia
BQU9.AX|Base Load Electricity Futures Q|ASX|Australia
T58FK19-2.SI|T58F future for May 2019, being|SES|Singapore
VWSU6.AX|NSW Wheat September 2016 (24 hr|ASX|Australia
LDQ1527-C.BO|||
DRLFZ5.EX|DRLF DEC 15        |EUX|Germany
SEBA6N.ST|SEB FEB 16/N       |STO|Sweden
BNPHJ5.EX|BNPH APR 15        |EUX|Germany
LPFQ17-3.SI|LPF future for August 2017, bei|SES|Singapore
DVT8.AX|Peak Load Electricity Strips Vi|ASX|Australia
ELPE16F.AT|HELPET JUN 16      |ATH|Greece
ETE15I.AT|NATBNK SEP 15      |ATH|Greece
ELPE15I.AT|HELPET SEP 15      |ATH|Greece
VCSH5.AX|Eastern Australian Canola March|ASX|Australia
R2:CTSA3T.SA|SANTANENSE  ON|SAO|Brazil
RSMDEC15.PA|RAPMEA DEC 15      |PAR|France
SKAB5U.ST|SKANSK SEP 15/N    |STO|Sweden
SAPIV5.EX|SAPI OCT 15        |EUX|Germany
ELM18-3.SI|EL future for June 2018, being |SES|Singapore
2UNI5K.MDD|UNIPOL NOV 15      |MDD|
RUJ1530-C.BO|||
PV87Z.AS|PV8 DEC 17         |AMS|Netherlands
FMELM5.EX|FMEL JUN 15        |EUX|Germany
61550644.EX|FGBS DEC 12        |EUX|Germany
FLH1631-C.BO|||
OSRFF6.EX|OSRF JAN 16        |EUX|Germany
LLV1529-C.BO|||
EDU25-2.SI|ED future for September 2025, b|SES|Singapore
MYU15-C.SI|||
IBB5.AX|30 Day Interbank Cash Rate Futu|ASX|Australia
A2ZNZ8.EX|A2ZN DEC 18        |EUX|Germany
IBSV5.AX|30 Day Interbank Cash Rate Futu|ASX|Australia
HUAFZ5.EX|HUAF DEC 15        |EUX|Germany
TWK15-3.SI|TW future for May 2015, being t|SES|Singapore
HMB6F.ST|H&M; JUN 16         |STO|Sweden
LPFQ17-C.SI|||
PESFQ15-2.SI|PESF future for August 2015, be|SES|Singapore
JBM16-2.SI|JB future for June 2016, being |SES|Singapore
EDQ15-3.SI|ED future for August 2015, bein|SES|Singapore
APB6.AX|S&P;/ASX 200 Index February 2016|ASX|Australia
STJ15-2.SI|ST future for April 2015, being|SES|Singapore
72611967.EX|FDAX MAR 15        |EUX|Germany
2FCA6A.MDD|FCA JAN 16/N       |MDD|
NXTJM6.EX|NXTJ JUN 16        |EUX|Germany
R2:CEEB5T.SA|COELBA      PNA|SAO|Brazil
AMF6.AX|Mini SPI 200 futures January 20|ASX|Australia
FDIV6L.MDD|FDIV DEC 16        |MDD|
TWQ15-3.SI|TW future for August 2015, bein|SES|Singapore
GOBGQ5.EX|GOBG AUG 15        |EUX|Germany
OCJ1530-C.BO|||
M58FJ17-2.SI|M58F future for April 2017, bei|SES|Singapore
STF16-C.SI|||
IRC8.AX|90-Day Bank Accepted Bills Marc|ASX|Australia
T58FF18-3.SI|T58F future for January 2018, b|SES|Singapore
RIBAH7_F.ST|RIBA MAR 17/N      |STO|Sweden
GVI6.AX|Base Load Quarterly $300 Cap El|ASX|Australia
M58FH19-3.SI|M58F future for March 2019, bei|SES|Singapore
PPXGQ5.EX|PPXG AUG 15        |EUX|Germany
R2:ABRE3S.SA|ABRIL EDUCA ON      NM|SAO|Brazil
FSTGU5.EX|FSTG SEP 15        |EUX|Germany
ELU15-C.SI|||
FVSQ6.EX|FVS AUG 16         |EUX|Germany
R2:AELP3T.SA|AES ELPA    ON|SAO|Brazil
75745981.EX|FSMI SEP 15        |EUX|Germany
HDBJH6.EX|HDBJ MAR 16        |EUX|Germany
PHF16-3.SI|PH future for January 2016, bei|SES|Singapore
WLQ1527-C.BO|||
IRSH9.AX|90-Day Bank Accepted Bills Marc|ASX|Australia
HNKFU5.EX|HNKF SEP 15        |EUX|Germany
T2KAZ5.EX|T2KA DEC 15/N      |EUX|Germany
ANTHH6.EX|ANTH MAR 16        |EUX|Germany
AKG.SI|ComfortD.ES.1501|SES|Singapore
OCZ1531-C.BO|||
IFXGZ5.EX|IFXG DEC 15        |EUX|Germany
