Ticker|Name|Exchange|Country
24794573.DE|INAV SUSESUE GBP|GER|Germany
^NQUSS9572GBPT|NQ US Sm Cap Comp Hardware GBP |NIM|USA
^NQEMEA9000EURT|NASDAQ EMEA Tech EUR TR Index|NIM|USA
SX5GNFR.Z|STXEEXFIN 50 EURGR|ZRH|Switzerland
^DJIEZM|Dow Jones Islamic Market Euro M|DJI|USA
^NQUSS4000EURT|NQ US Sm Cap Health Care EUR TR|NIM|USA
WIAMERS7530.FGI|FTSE AM-ELECTRICITY|FGI|UK
^NQNO0001AUDN|NASDAQ Norway Oil & Gas AUD NTR|NIM|USA
WIXUKS7570.L|FTSE XUK-GAS WATER|FSI|UK
^NQUSB2753LMAUDN|NQ US  Comml Vehicles & Trucks |NIM|USA
^NQJP4000JPYN|NASDAQ Japan Health Care JPY NT|NIM|USA
NLFW.PA|NLCI FEED WHEAT|PAR|France
^XTLHEE|UBS Bloomberg CMCI Lean Hogs He|WCB|USA
^NQDMASIA4000LMJPY|NASDAQ DM Asia Health Care Lg M|NIM|USA
^NQDMXJPLMJPYN|NASDAQ DM Ex Japan Large Mid Ca|NIM|USA
INWDP.PA|ISHS GL.PRO VLI|PAR|France
^NQG3700EURT|NASDAQ Global Psnl & Hhld Goods|NIM|USA
LZPW.DE|INAV DB X-T DJ SX5E|GER|Germany
^RUGLWCN|Russell World Cap Net Return|WCB|USA
^NQNZ5000T|NASDAQ New Zealand Cnsmr Svcs T|NIM|USA
C5UK0530.L|FTSE 100 CAP5- OIL|FSI|UK
SXP1CHM.Z|STXAP6CHE USD P|ZRH|Switzerland
WIITAG.L|FTSE WORLD ITALY|FSI|UK
X29D.DE|INAVDEKAFIN30UCITET|GER|Germany
^YHOH864|||
^NQEMMEA1000GBPN|NASDAQ EM MEA Basic Matls GBP N|NIM|USA
^NQUSS4000N|NQ US Sm Cap Health Care NTR In|NIM|USA
^REVWFIN|Revenue Shares Large Cap Fund F|SNP|USA
^NQUSL4577AUDN|NQ US Lg Cap Pharma AUD NTR Ind|NIM|USA
20076527.SG|LPXCOMP.LPEI TR GBP|STU|Germany
^NQDE1000AUDN|NASDAQ Germany Basic Matls AUD |NIM|USA
^BCOMKWCT|BBG KCW Capped TR|WCB|USA
NLBMG.AS|AEX BASIC MATER GR|AMS|Netherlands
^FTUB2700|FTSE 350-IND GOODS|FSI|UK
09I0.DE|XPECT CV EW 1935-1939 F2|GER|Germany
^NQPHLCJPYN|NASDAQ Philippines Large Cap JP|NIM|USA
^NQDXDMXUSN|NASDAQ AlphaDEX DM Ex-US NTR In|NIM|USA
WIPOL0530.FGI|FTSE POLAND|FGI|UK
WIITA7530.L|FTSE ITA-ELECTRICIT|FSI|UK
^DWATDT|Dow Jones Austria Total Stock M|DJI|USA
^NQDMEU4000LMJPYT|NASDAQ DM Europe Health Care Lg|NIM|USA
^NQKR4000AUDT|NASDAQ Korea Health Care AUD TR|NIM|USA
XIN45550.L|FTSE China A 600 Media Index|LSE|UK
WICHE3760.L|FTSE CHE - PERSGOOD|FSI|UK
^NQNZSCCADT|NASDAQ New Zealand Small Cap CA|NIM|USA
SXE33L.Z|STXEUA8A&P; USD P|ZRH|Switzerland
