Ticker|Name|Exchange|Country
KR5226AB6301.KS|HDC Institutional MMF 2|KSC|Korea
HDPMX|Hodges Retail|NAS|USA
PXMNX|Putnam MN Tax Exempt Income A|NAS|USA
FMFSX|Rx Traditional Fixed Income Advisor|NAS|USA
K55209B35455.KS|Shinyoung Marathon Asia Value Equity CP|KSC|Korea
RSICX|RS Strategic Income C|NAS|USA
KR5207AS6537.KS|KyoboAXA Active Quant PF Equity-Deriv 2|KSC|Korea
20006184.IR|QCM GDP B/11/12/USD|ISE|UK
SCFFX|Shenkman Short Duration High Income F|NAS|USA
IXECPBE3.MX|IXECP BE3|MEX|Mexico
RUSSELLCATGO.TO|Russell Overseas Equity Class Sr B|TOR|Canada
B3FH125.IR|Aegon Intl JPM EMkts B|ISE|UK
11081494.SW|FAF QUARK EUR|EBS|Austria
21829790.IR|PAULS B/B-05-13.H4 |ISE|UK
DRNYX|Dreyfus NY Tax-Exempt Bond|NAS|USA
DFLEX|DoubleLine Flexible Income I|NAS|USA
MPLSX|MassMutual Premier Strat Emerg Mkts Adm|NAS|USA
VKUVEX|Quality Municipals Income Trust|NAS|USA
F00000T34K.TO|Quadrus Aggressive Folio L|TOR|Canada
GIPIX|Goldman Sachs Balanced Strategy Instl|NAS|USA
RSHCX|RS High Income Municipal Bond C|NAS|USA
DFSPX|DFA Intl Sustainability Core 1|NAS|USA
F00000RUUY.TO|Desjardins Chorus II Corp Cl Max Gr R8|TOR|Canada
1410631.IR|ODEY EUROPEAN USD|ISE|UK
KR5104AI0742.KS|Hi US 1.5 Levg Fdr Eq-DerivFoF CE Unhdgd|KSC|Korea
KR5104AW8481.KS|Hi ABChina Credit Linked PF DLS-Deriv 3|KSC|Korea
3797418.SW|PIM GL YD CHF-IN-AC|EBS|Austria
STCFX|RidgeWorth Large Cap Growth Stock C|NAS|USA
DLPCX|Delaware Global Real Estate Opps C|NAS|USA
12326.AX|MFS Fully Hedged Global Equity Trust|ASX|Australia
PPQDX|PIMCO RealPath Blend 2050 Administrative|NAS|USA
INSGIX|Zacks Select Equity Income Port|NAS|USA
KR5206567541.KS|Kiwoom Blue Land Global RE FoF A|KSC|Korea
SAMVX|RidgeWorth Mid-Cap Value Equity A|NAS|USA
IE00B43HDM83.IR|KBI Instl Water C EUR|ISE|UK
HWVIX|Hotchkis & Wiley Sm Cp Divers Val I|NAS|USA
DJLB.MU|ALL EMR MKS EUR-A-|MUN|Germany
BMOGROWTHOPP.TO|BMO Growth Opportunities Advisor|TOR|Canada
A159800.KQ|Dongbu MIGHTY K100 ETF|KSC|Korea
ESEAX|Eaton Vance Atlanta Capital Sel Eq A|NAS|USA
WICAX|InvestEd Conservative|NAS|USA
JSVRX|JPMorgan Small Cap Value R5|NAS|USA
RYINX|Rydex Internet A|NAS|USA
K55365B88637.KS|Meritz 2Star ELS-Derivatievs SE2|KSC|Korea
XPMAX|Pioneer Municipal High Income A|NAS|USA
FCLIX|Fidelity Advisor Industrials I|NAS|USA
JHCCX|JHancock Absolute Return Currency R2|NAS|USA
PMSAX|Principal Global Multi-Strategy A|NAS|USA
F00000OS7H.TO|TD Strategic Yield I|TOR|Canada
AASSX|American Beacon Small Cp Val Adv|NAS|USA
CSGYX|Columbia Small Cap Growth I Y|NAS|USA
WPSCX|Westport Select Cap I|NAS|USA
IUESX|JPMorgan International Uncons Eq Select|NAS|USA
MSPCX|Morgan Stanley Inst Global Dscvry C|NAS|USA
GB00B40KPF73.L|HSBC Global Strategy Balanced Retl X Inc|LSE|UK
MSIRX|MainStay Unconstrained Bond R2|NAS|USA
IAXTRAGSSELE.TO|IA xtra GS Select Canadian|TOR|Canada
KR5101A52077.KS|KIM Samsung Group Installment Eq Bal 1 A|KSC|Korea
GB00BKX58R45.L|Henderson Sec Loans Y Hdg Acc|LSE|UK
TVTCX|Catalyst Time Value Trading C|NAS|USA
29088657.IR|AXA GLO SM EUR-AD-|ISE|UK
150076.SZ|ZHESHANG FUND MANA SHARE A OF C|SHZ|
DHTAX|Diamond Hill Select A|NAS|USA
NOMURAJAPANF.TW|Nomura Japan Fund|TAI|Taiwan
JHS4.BE|HSBC GI UK EQ AD|BER|Germany
AGISX|Aberdeen Global Small Cap Instl Svc|NAS|USA
INSJIX|Zacks Select Equity Income Port|NAS|USA
AMTCX|Columbia Capital Allocation Moderate C|NAS|USA
GTFWX|SunAmerica Global Trends W|NAS|USA
GB00BGDWCX10.L|Threadneedle Multi-Asset Zurich II ZNA £|LSE|UK
IMCGX|Transamerica Mid Cap Growth I|NAS|USA
USMIX|USAA Extended Market Index|NAS|USA
