Ticker|Name|Exchange|Country
B632S.PA|LVMH/SG WT 16|PAR|France
5403C.PA|GETSA/CITI P-WT|PAR|France
719324.TWO|YUANTA SECURITIES C/W 10/12/15(|TWO|Taiwan
UI680A.MI|UCFTMIBP16000A16|MIL|Italy
Q477K.PA|||
FM47B.AS|CRBN/BNP WT OPEN|AMS|Netherlands
X339B.PA|ILIAD/BNP WT OPEN|PAR|France
T683C.AS|RESEA/CITI WT OPEN|AMS|Netherlands
6947C1.KL|DIGI-C1: CW DIGI.COM BHD (RHB)|KLS|Malaysia
WLB6QZ.BE|WESTLB 16 VAR|BER|Germany
76WX.L|BCCL/BARCLAYS BK 16|LSE|UK
S498S.PA|SUEZ ENV/SG P-WT 16|PAR|France
Q496S.PA|VALOU/SG P-WT 16|PAR|France
28633028.VI|CWI/RCB 17 ZT|VIE|Austria
1X86Z.PA|ZC/COBA WTS 15|PAR|France
080876.TW|CONCORD SECURITIES CORP C/W 24/|TAI|Taiwan
22040-OL.HK|JP-GTJA@EC1511A|HKG|Hong Kong
60475-OL.HK|JP#HSCEIRC1607H|HKG|Hong Kong
033007.TW|JIH SUN SECURITIES C/W 01/12/15|TAI|Taiwan
GD19B.AS|NG16G/BNP WT OPEN|AMS|Netherlands
04571P.TW|MEGA SECURITIES CO. LTD. P/W 03|TAI|Taiwan
Y532B.PA|ZODC/BNP P-WT 16|PAR|France
06425P.TW|YUANTA SECURITIES P/W 07/01/16(|TAI|Taiwan
69663-OL.HK|UB#HSI  RP1510T|HKG|Hong Kong
Q520S.PA|VIVEN/SG WT 16|PAR|France
61251-OL.HK|HONGKONG&SHANG; BK BULL CT 30/11|HKG|Hong Kong
69281-OL.HK|JP#HSI  RP1510B|HKG|Hong Kong
081585.TW|HUA NAN SECURITIES CO LTD C/W 1|TAI|Taiwan
720629.TWO|YUANTA SECURITIES C/W 10/03/16(|TWO|Taiwan
574B97.KS|KIS4B97NC SOFT- P|KSC|Korea
J733C.AS|INBEV/CITI P-WT|AMS|Netherlands
574G37.KS|KIS4G37LG H&H-; C|KSC|Korea
2259C.PA|VOLKSW/CITI P-WT 16|PAR|France
V178B.PA|AXA/BNP WT OPEN|PAR|France
EI15B.AS|||
DU20B.AS|||
Z028B.PA|EURUSD/BNP P-WT 16|PAR|France
Y176B.PA|SILVE/BNP P-WT OPEN|PAR|France
085078.TW|FIRST SECURITIES INC (TAIWAN) C|TAI|Taiwan
X734B.PA|EXXON/BNP WT OPEN|PAR|France
036909.TW|YUANTA SECURITIES C/W 19/02/16(|TAI|Taiwan
57AH54.KS|KISAH54KOSPI200- P|KSC|Korea
X715B.PA|UNIBL/BNP WT 15|PAR|France
30876995.VI|NG/RCB OPT|VIE|Austria
20560-OL.HK|UB-HKEX@EC1512C|HKG|Hong Kong
Y753Z.LS|DBANK/COBA P-WT 15|LIS|Portugal
K933Z.PA|GLE/COBA 15 CT|PAR|France
G785Z.PA|ACA/COBA WTS 16|PAR|France
HLB1EV.F|HELABA 21 VAR|FRA|Germany
61352-OL.HK|JP#HSI  RC1610N|HKG|Hong Kong
GM45G.AS|USG/ING WT OPEN|AMS|Netherlands
Z538Z.LS|IBEX/COBA WT 15|LIS|Portugal
75A061.KS|NOMURAA061KOSPI200- P|KSC|Korea
G800Z.BR|FGR/COBA WTS 16|BRU|Belgium
UCAC5S.MI|UCHCACSX5E18|MIL|Italy
8774S.PA|IBM/SG P-WT 15|PAR|France
UI145K.MI|UCAGLC9A15|MIL|Italy
X576B.PA|VALOU/BNP WT 15|PAR|France
30844844.BR|OR/COBA WTS 16|BRU|Belgium
032141.TW|YUANTA SECURITIES|TAI|Taiwan
NATG.L|UBS AG, London Branch|LSE|UK
S15382.MI|SGIFTMIB128%E18|MIL|Italy
LE9938.MI|CAFENEL3.7422E16|MIL|Italy
0538T.PA|VEOLI/UCB WT 15|PAR|France
ZRIWSC-A.A|RIO PLC UBSMA22CW|ASX|Australia
BULL-NOKSEK-X4-S.ST|NOK/SEK/SEB 23|STO|Sweden
584974.KS|HDS4974SHI- C|KSC|Korea
64389-OL.HK|SG#HSI  RC1606Z|HKG|Hong Kong
Q287S.PA|NEOPO/SG P-WT 15|PAR|France
60011-OL.HK|HS#CSA50RC1512O|HKG|Hong Kong
083472.TW|MEGA SECURITIES CO. LTD. C/W 21|TAI|Taiwan
SIM01C1506A.BK|CW ON SIM OF BLS # A|SET|Thailand
I02248.TI|BASKET/BI 18 CT|TLO|Italy
63VHZ.AS|MUV2/COBA CT|AMS|Netherlands
05696P.TW|MASTERLINK SECS P/W 10/11/15(LA|TAI|Taiwan
A425B.PA|RENAU/BNP P-WT 16|PAR|France
30844807.BR|EO/COBA WTS 16|BRU|Belgium
VGI11C1512A.BK|CW ON VGI OF KS # A|SET|Thailand
ARL5S.PA|SILVER X5/SGE OPEN|PAR|France
60543-OL.HK|CS#HSI  RP1510P|HKG|Hong Kong
25585757.VI|5.46207 BAYN/RCB 16|VIE|Austria
715360.TWO|Conversion ratio is 18000|TWO|Taiwan
05199P.TW|SINOPAC SECURITIES|TAI|Taiwan
A12Z31.DE|ETFS5XLUSDS/ETFS|GER|Germany
64809-OL.HK|EA#C MOBRC1507A|HKG|Hong Kong
035317.TW|JIH SUN SECURITIES C/W 18/01/16|TAI|Taiwan
24291-OL.HK|GS-CGS @EC1604A|HKG|Hong Kong
GRYKOQ-A|GRYPHON MINI S|ASX|Australia
04999P.TW|MASTERLINK SECURITIES P/W 15/09|TAI|Taiwan
H336Z.PA|SOGEN/COBA WT 16|PAR|France
8018C.PA|VALOU/CITI WT 16|PAR|France
ET50G.PA|PA/ING P-WT OPEN|PAR|France
0651CS.KL|HSI-CS: CW HANG SENG INDEX (MAC|KLS|Malaysia
B683S.PA|SOGEN/SG WT 16|PAR|France
32VTZ.AS|GOOG/COBA P-WT|AMS|Netherlands
17711-OL.HK|JP-HKEX@EC1505A|HKG|Hong Kong
BLDSS3-A|BORAL LTD UBSJUN15I|ASX|Australia
BOQKZB-A.A|BANK QLD MINI L|ASX|Australia
9503T.PA|CAC/UCB P-WT 16|PAR|France
030769.TW|JIH SUN SECURITIES|TAI|Taiwan
J546B.PA|APPLE/BNP WT 15|PAR|France
5824S.PA|BMW/SG WT 15|PAR|France
I01408.TI|SXEE/BANCA IMI 19|TLO|Italy
63847-OL.HK|SC#HSI  RC1608G|HKG|Hong Kong
WLB6QX.BE|||
X652B.PA|CAC40/BNP WT 16|PAR|France
04872P.TW|CAPITAL SECURITIES P/W 04/09/15|TAI|Taiwan
QBEKZT-A|QBE INSUR. MINI S|ASX|Australia
Q463S.PA|UBISF/SG P-WT 16|PAR|France
I02478.MI|BISPMC8.4E16|MIL|Italy
4183T.PA|VIVEN/UCB P-WT 15|PAR|France
H379Z.PA|CAC40/COBA WT 16|PAR|France
BEAR-MEOVALX3-NF.HE|MEO1V/NORDEA NTS|HEL|Finland
5870C.PA|CAC40/CITI P-WT 16|PAR|France
FT54B.AS|QUALC/BNP WT OPEN|AMS|Netherlands
13525-OL.HK|UB-SJM @EC1505A|HKG|Hong Kong
62615-OL.HK|BP#HSI  RP1604M|HKG|Hong Kong
07235P.TW|JIH SUN SECURITIES P/W 07/03/16|TAI|Taiwan
Q478S.PA|UNIBL/SG P-WT 16|PAR|France
M771B.PA|AXA/BNP WT 16|PAR|France
031552.TW|JIH SUN SECURITIES C/W 04/02/16|TAI|Taiwan
24745437.VI|STR/RCB 16 ZT|VIE|Austria
N793C.AS|AEX/CITI WT OPEN|AMS|Netherlands
G654Z.PA|PX1/COBA 16 CT|PAR|France
03070P.TW|MASTERLINK SECURITIES P/W 07/04|TAI|Taiwan
60052-OL.HK|CS#HSI  RC1601E|HKG|Hong Kong
Y500B.PA|PWLD TR C/BNP WT 22|PAR|France
NHCKOQ-A.A|NEW HOPE MINI S|ASX|Australia
H387Z.PA|CAC40/COBA WT 16|PAR|France
718742.TWO|FUBON SECURITIES C/W 07/01/16(T|TWO|Taiwan
X096B.PA|CAC40/BNP WT 16|PAR|France
J062B.PA|MICHL/BNP P-WT OPEN|PAR|France
7768C.PA|AMAZO/CITI WT OPEN|PAR|France
CBAKZL-A.A|CWLTH BANK MINI L|ASX|Australia
083349.TW|HUA NAN SECURITIES CO LTD C/W 2|TAI|Taiwan
